source_label,source,target_label,target
"On Severe Offences",https://handrit.is/en/manuscript/view/AM04-0046#section_6,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/6v-27r#content
»,https://handrit.is/en/manuscript/view/en/AM02-0202-g,"More Details",https://handrit.is/en/biography/view/SilHuf001
«,https://handrit.is/en/manuscript/view/en/Rask114,"No Title",https://handrit.is/en/manuscript/view/en/Rask114#section_1
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM08-265,handrit.org,https://handrit.is/da/
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,"Send Feedback on Manuscript",https://handrit.is/en/popup/feedback/en/AM04-0046
Browse,https://handrit.is/en/manuscript/browse/uniform,"Alcuini de virtutibus et vitiis liber",https://handrit.is/en/manuscript/list/uniform?v=Alcuini+de+virtutibus+et+vitiis+liber
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,,https://handrit.is/en/manuscript/list/keyword/kvad
handrit.is,https://handrit.is/en/,"Lbs fragm 82",https://handrit.is/en/manuscript/view/is/LbsFragm-0082
"Katalog over Den Arnamagnæanske Håndskriftsamling",https://handrit.is/en/bibliography/view/KKKat,,https://handrit.is/en/bibliography/view.outerlayout.language/da?t:ac=KKKat
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM04-0353,Vafra,https://handrit.is/is/manuscript/browse/uniform
"More Details",https://handrit.is/en/biography/view/ArnMag001,,https://handrit.is/en/manuscript/view/da/Acc-0015
"No Title",https://handrit.is/en/manuscript/view/AM02-0201#section_1,"View Images",https://handrit.is/en/manuscript/imaging/en/AM02-0201
"Sweriges gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur3,Shelfmark,https://handrit.is/en/bibliography/view.outputassociatedmanuscripts.associated_manuscripts.columns:sort/shelfmark?t:ac=CorpJur3
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,"Sweriges gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur3
Laws,https://handrit.is/en/manuscript/list/keyword/log,,https://handrit.is/en/manuscript/view/is/AM02-0240
"More Details",https://handrit.is/en/biography/view/ArnMag001,"AM 1 d alfa fol.",https://handrit.is/en/manuscript/view/AM02-0001-d-alpha
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,"Frederik Rostgaard",https://handrit.is/en/biography/view/FreRos001
